This information is not intended to be and should not be construed as tax advice. Consult your tax advisor.

DateTime,Transaction Type,Asset In (Quantity),Asset In (Currency) ,Asset Out (Quantity) ,Asset Out (Currency) ,Transaction Fee (Quantity) ,Transaction Fee (Currency) ,Market Value (USD)
"Mon, 30 Nov 2020 10:54:23 GMT",BUY,0.00053964,BTC,10.00,USD,0.00,USD,10.00
"Tue, 01 Dec 2020 07:16:46 GMT",SELL,10.50,USD,0.00053964,BTC,0.00,USD,10.50
"Tue, 01 Dec 2020 07:19:35 GMT",BUY,0.05621135,LTC,5.00,USD,0.00,USD,5.00
"Tue, 01 Dec 2020 09:11:49 GMT",BUY,0.01757356,BCH,5.50,USD,0.00,USD,5.50
"Wed, 02 Dec 2020 00:37:56 GMT",SELL,2.00,USD,0.00695482,BCH,0.00,USD,2.00
"Wed, 02 Dec 2020 00:38:37 GMT",BUY,0.00337672,ETH,2.00,USD,0.00,USD,2.00
"Wed, 02 Dec 2020 00:55:56 GMT",SELL,1.00,USD,0.00168944,ETH,0.00,USD,1.00
"Wed, 02 Dec 2020 00:56:24 GMT",BUY,0.00005299,BTC,1.00,USD,0.00,USD,1.00
"Wed, 02 Dec 2020 04:19:40 GMT",SELL,1.50,USD,0.00527593,BCH,0.00,USD,1.50
"Wed, 02 Dec 2020 04:20:32 GMT",BUY,0.00257798,ETH,1.50,USD,0.00,USD,1.50
"Wed, 02 Dec 2020 04:26:33 GMT",SELL,2.00,USD,0.02393203,LTC,0.00,USD,2.00
"Wed, 02 Dec 2020 04:27:19 GMT",BUY,0.00345447,ETH,2.00,USD,0.00,USD,2.00
"Wed, 02 Dec 2020 07:34:45 GMT",SELL,2.85,USD,0.03227932,LTC,0.00,USD,2.85
"Wed, 02 Dec 2020 07:35:32 GMT",SELL,3.57,USD,0.00602714,ETH,0.00,USD,3.57
"Wed, 02 Dec 2020 07:36:15 GMT",SELL,1.00,USD,0.00005299,BTC,0.00,USD,1.00
"Wed, 02 Dec 2020 07:36:50 GMT",BUY,0.01691284,LTC,1.50,USD,0.00,USD,1.50
"Wed, 02 Dec 2020 07:41:16 GMT",SELL,1.56,USD,0.00534281,BCH,0.00,USD,1.56
"Wed, 02 Dec 2020 07:42:39 GMT",SELL,1.00,USD,0.00169259,ETH,0.00,USD,1.00
"Wed, 02 Dec 2020 07:52:20 GMT",SELL,1.49,USD,0.01691284,LTC,0.00,USD,1.49
"Wed, 02 Dec 2020 08:51:52 GMT",BUY,0.10730825,LTC,9.50,USD,0.00,USD,9.50
"Thu, 03 Dec 2020 00:06:57 GMT",SELL,2.50,USD,0.02785515,LTC,0.00,USD,2.50
"Thu, 03 Dec 2020 00:07:34 GMT",BUY,0.00415994,ETH,2.50,USD,0.00,USD,2.50
"Fri, 04 Dec 2020 01:34:24 GMT",SELL,2.54,USD,0.00415994,ETH,0.00,USD,2.54
"Fri, 04 Dec 2020 01:34:57 GMT",SELL,7.02,USD,0.0794531,LTC,0.00,USD,7.02
"Sat, 05 Dec 2020 01:52:15 GMT",BUY,0.00873789,ETH,5.00,USD,0.00,USD,5.00
"Sat, 05 Dec 2020 02:17:33 GMT",BUY,0.06242976,LTC,5.00,USD,0.00,USD,5.00
"Sat, 05 Dec 2020 05:52:28 GMT",SELL,5.11,USD,0.00873789,ETH,0.00,USD,5.11
"Sat, 05 Dec 2020 05:56:38 GMT",BUY,0.00875123,ETH,5.12,USD,0.00,USD,5.12
"Sun, 06 Dec 2020 11:53:57 GMT",SELL,5.14,USD,0.06242976,LTC,0.00,USD,5.14
"Sun, 06 Dec 2020 11:54:32 GMT",SELL,5.18,USD,0.00875123,ETH,0.00,USD,5.18
"Sun, 06 Dec 2020 23:04:51 GMT",BUY,0.00226449,ETH,1.35,USD,0.00,USD,1.35
"Mon, 07 Dec 2020 05:47:56 GMT",SELL,1.35,USD,0.00226449,ETH,0.00,USD,1.35
"Mon, 07 Dec 2020 05:48:33 GMT",BUY,0.01611747,LTC,1.35,USD,0.00,USD,1.35
"Tue, 08 Dec 2020 08:32:23 GMT",SELL,1.33,USD,0.01611747,LTC,0.00,USD,1.33
"Tue, 08 Dec 2020 08:33:06 GMT",BUY,0.00474898,BCH,1.33,USD,0.00,USD,1.33
"Sat, 12 Dec 2020 05:37:44 GMT",SELL,1.26,USD,0.00474898,BCH,0.00,USD,1.26
"Sat, 12 Dec 2020 05:38:39 GMT",BUY,0.01682692,LTC,1.26,USD,0.00,USD,1.26
"Sun, 27 Dec 2020 20:46:35 GMT",SELL,2.12,USD,0.01682692,LTC,0.00,USD,2.12
